ID	ISO	Glottocode	Language	Slug	NLexemes	NCognates	Author	Latitude	Longitude	Classification
1030	mmw	emae1237	Emae (Makatea)	Emae_Makatea_1030	192	178	Tryon (1976)	-17.0520	168.3990	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, Central Pacific, East Fijian-Polynesian, Polynesian, Nuclear, Samoic-Outlier, Futunic
1055	mxe	mele1251	Mele	Mele_1055	184	163	Tryon (1976)	-17.6841	168.2750	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, Central Pacific, East Fijian-Polynesian, Polynesian, Nuclear, Samoic-Outlier, Futunic
1163	mxe	fila1237	Fila	Fila_1163	189	173	Tryon (1976)	-17.6841	168.2750	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, Central Pacific, East Fijian-Polynesian, Polynesian, Nuclear, Samoic-Outlier, Futunic
1212	nur	nuku1259	Nukeria	Nukeria_1212	288	248	Davletshin, Albert. 2013. Fieldwork data.	-3.3333	154.7500	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, Central Pacific, East Fijian-Polynesian, Polynesian, Nuclear, Samoic-Outlier, Ellicean
1213	aut	raiv1237	Ra'ivavae	Raivavae_1213	200	188	Marianne Flores; Odile Tamaititahio	-23.3843	-149.4620	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, Central Pacific, East Fijian-Polynesian, Polynesian, Nuclear, East, Central, Tahitic
1214	ray	rapa1245	Old Rapa (Rapa)	Old_Rapa_Rapa_1214	197	166	Mary Walworth (various consultants)	-27.6304	-144.3380	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, Central Pacific, East Fijian-Polynesian, Polynesian, Nuclear, East, Central
1626	rar	mang1402	Mangaia	Mangaia_1626	207	196	Mangaian Dictionary Online (2016)	-	-	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, Central Pacific, East Fijian-Polynesian, Polynesian, Nuclear, East, Central, Tahitic
1627	fij	fiji1243	Tokelau Fijian	Tokelau_Fijian_1627	165	154	Paul Geraghty, Fieldnotes	-	-	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, Central Pacific, East Fijian-Polynesian, East Fijian
1628	pnh	penr1237	Penrhyn (Tongareva)	Penrhyn_Tongareva_1628	201	182	Online dictionary of Penrhyn	-	-	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, Central Pacific, East Fijian-Polynesian, Polynesian, Nuclear, East, Central, Tahitic
1636	tah	tahi1242	Tahitian	Tahitian_1636	252	239	Fare Vana'a	-	-	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, Central Pacific, East Fijian-Polynesian, Polynesian, Nuclear, East, Central, Tahitic
1654	nuq	nuku1258	Nukumanu	Nukumanu_1654	153	134	Richard Feinberg	-	-	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, Central Pacific, East Fijian-Polynesian, Polynesian, Nuclear, Samoic-Outlier, Ellicean
