ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
11-72_tohit-2,75359,11,72_tohit,yavi-ta,yavi-ta,y/j a v i + t a,,120166,,false,^y a v i - t a$,default
11-73_tosteal-1,25715,11,73_tosteal,butako-ca,butako-ca,b u t a k o + c/ts a,,120166,1,false,^b u t a k o - c a$,default
11-74_tokill-1,91836,11,74_tokill,moku-ta,moku-ta,m o k u + t a,,120166,,false,^m o k u - t a$,default
11-74_tokill-2,91837,11,74_tokill,vaka-mate-a,vaka-mate-a,v a k a + m a t e + a,,120166,2,false,^v a k a - m a t e - a$,default
11-75_todiebedead-1,26429,11,75_todiebedead,mate,mate,m a t e,,120166,1,false,^m a t e$,default
11-76_tolivebealive-1,26786,11,76_tolivebealive,bula,bula,b u l a,,120166,28,false,^b u l a$,default
11-77_toscratch-1,75609,11,77_toscratch,kadru-va,kadru-va,k a d r u + v a,,120166,44,false,^k a d r u - v a$,default
11-77_toscratch-2,75610,11,77_toscratch,mila-a,mila-a,m i l a + a,,120166,31,false,^m i l a - a$,default
11-78_tocuthack-1,27500,11,78_tocuthack,tatā,tatā,t a t ā/a,,120166,3,false,^t a t ā$,default
11-79_stickwood-1,27857,11,79_stickwood,kau,kau,k a u,,120166,1,false,^k a u$,default
11-80_tosplit-1,28214,11,80_tosplit,tase-a,tase-a,t a s e + a,,120166,,false,^t a s e - a$,default
11-81_sharp-1,28571,11,81_sharp,gata,gata,g a t a,,120166,36,false,^g a t a$,default
11-82_dullblunt-1,28928,11,82_dullblunt,[mucu]mucu,mucu,m u c/ts u,,120166,10,false,^m u c u$,default
11-83_towork-1,29285,11,83_towork,cakacaka,cakacaka,c a k a c/ts a k a,,120166,33,false,^c a k a c a k a$,default
11-83_towork-2,343392,11,83_towork,mi-àsa,mi-àsa,m i + ʔ à/a s a,,120166,,false,^m i - às a$,default
11-84_toplant-1,29642,11,84_toplant,te-a,te-a,t e + a,,120166,,false,^t e - a$,default
11-85_tochoose-1,29999,11,85_tochoose,digi-a,digi-a,d i g i + a,,120166,41,false,^d i g i - a$,default
11-86_togrow-1,30356,11,86_togrow,tubu,tubu,t u b u,,120166,1,false,^t u b u$,default
11-87_toswell-1,30713,11,87_toswell,vuce,vuce,v u c/ts e,,120166,"7, 27",false,^v u c e$,default
11-88_tosqueeze-1,90436,11,88_tosqueeze,boo,boo,b oː,Pollex 06: Boo. :Squeeze.,120166,8,false,^b oo$,default
11-89_tohold-1,31427,11,89_tohold,taura,taura,t a u r a,,120166,35,false,^t a u r a$,default
11-90_todig-1,31784,11,90_todig,keli-a,keli-a,k e l i + a,,120166,1,false,^k e l i - a$,default
11-91_tobuy-1,32141,11,91_tobuy,voli-a,voli-a,v o l i + a,,120166,1,false,^v o l i - a$,default
11-92_toopenuncover-1,32498,11,92_toopenuncover,dola-va,dola-va,d o l a + v a,,120166,35,false,^d o l a - v a$,default
11-93_topoundbeat-1,32855,11,93_topoundbeat,tuki-a,tuki-a,t u k i + a,,120166,2,false,^t u k i - a$,default
11-94_tothrow-1,33212,11,94_tothrow,viri-taka,viri-taka,v i r i + t a k a,,120166,30,false,^v i r i - t a k a$,default
11-95_tofall-1,33569,11,95_tofall,lutu-ka,lutu-ka,l u t u + k a,,120166,58,false,^l u t u - k a$,default
11-96_dog-1,33926,11,96_dog,koli,koli,k o l i,,120166,7,false,^k o l i$,default
11-97_bird-1,34283,11,97_bird,manumanu,manumanu,m a n u m a n u,,120166,1,false,^m a n u m a n u$,default
11-98_egg-1,34640,11,98_egg,yaloka,yaloka,y/j a l o k a,,120166,30,false,^y a l o k a$,default
11-99_feather-1,34997,11,99_feather,vuti-na,vuti-na,v u t i + n a,,120166,79,false,^v u t i - n a$,default
11-100_wing-1,35354,11,100_wing,taba-na,taba-na,t a b a + n a,,120166,35,false,^t a b a - n a$,default
11-101_tofly-1,35711,11,101_tofly,vuka,vuka,v u k a,,120166,45,false,^v u k a$,default
11-102_rat-1,36068,11,102_rat,kalavo,kalavo,k a l a v o,,120166,1,false,^k a l a v o$,default
11-103_meatflesh-1,36425,11,103_meatflesh,viciko,viciko,v i c/ts i k o,,120166,10,false,^v i c i k o$,default
11-104_fatgrease-1,36782,11,104_fatgrease,uro,uro,u r o,,120166,44,false,^u r o$,default
11-105_tail-1,37139,11,105_tail,bui-na,bui-na,b u i + n a,,120166,38,false,^b u i - n a$,default
11-106_snake-1,37496,11,106_snake,gata,gata,g a t a,,120166,12,false,^g a t a$,default
